cluster_id,business_name,job_count,share,dominant_broad_category,top_titles,top_skills,top_job_categories
0,云平台与 DevOps 工程岗位,3206,0.2672,Engineering,"Senior Software Engineer | Senior Python Data Scraping Engineer (Freelance) | Freelance Agent Evaluation Engineer | Freelance Presentation Designer | React Engineer - Remote, Latin America",software engineer | backend development | fullstack development | cloud engineer | data engineering | backend engineering | platform engineering | devops engineer,"Developer | Data Science | Design | Sales | Developer, Data Science"
1,销售与业务拓展岗位,8070,0.6725,Sales,Product Manager | Sales Development Representative | Business Development Representative | Account Executive | Account Manager,sales | business development | b2b sales | account management | customer service | digital marketing | operations | enterprise sales,Sales | Customer Service | Marketing | Operations | Product
2,企业应用与技术创新岗位,243,0.0203,Engineering,AI Innovation Engineer | SAP UX Developer | Windchill Middleware Developer | Distributed Systems Architect | Integration Platform Developer,software engineer | devops engineer | cloud engineer | platform engineering | backend engineer | site reliability engineering | data engineering | integration developer,"Developer | Data Science | Data Science, Developer | Hardware Engineer | Hardware Engineer, Developer"
3,机器学习与人工智能岗位,481,0.0401,Data Science,Business Ops Analyst - Fully Remote | Upto $160/hr | AI Safety Practitioner - Fully Remote | Upto $70/hr | Customer Support Expert - Fully Remote | Upto $160/hr | AI Safety Specialist - Remote | Upto $84/hr | GTM Analyst - Fully Remote | Upto $160/hr,ai safety specialist | document review | ai safety | ai evaluation | quality assurance | trust and safety | ai safety expert | ai safety researcher,Developer | Finance | Marketing | Data Science | Content Creator
